order_id,orderDate,customerName,product,quantity,amount,region
1001,2024-01-15,Alice Chen,Widget A,3,59.97,West
1002,2024-01-15,Bob Martinez,Widget B,1,29.99,East
1003,2024-01-16,Alice Chen,Widget A,2,39.98,West
1004,2024-01-16,Carol Davis,Widget C,5,149.95,Central
1005,2024-01-17,Bob Martinez,Widget A,1,19.99,East
1006,2024-01-17,,,2,39.98,West
1007,2024-01-18,Dave Wilson,Widget B,3,89.97,Central
1008,2024-01-18,Eve Thompson,Widget C,1,29.99,East
1009,2024-01-18,Carol Davis,Widget A,4,79.96,Central
1010,2024-01-19,Alice Chen,Widget B,2,59.98,West
1003,2024-01-16,Alice Chen,Widget A,2,39.98,West
1011,2024-01-19,Frank Lee,,1,,South
1012,2024-01-20,Grace Kim,Widget A,3,59.97,East
